time,x,y,d,press,skin0_x,skin0_y,skin0_z,skin1_x,skin1_y,skin1_z,skin2_x,skin2_y,skin2_z,skin3_x,skin3_y,skin3_z
1681389504.558507,0.0,0.0,0.6,0.08519635201963145,46.5,-182.1,-214.9,-192.0,-249.0,514.98,-39.6,-77.7,-30.01,-28.5,-169.2,212.96
1681389504.574423,0.0,0.0,0.6,0.08519635201963145,49.5,-183.0,-214.9,-191.4,-248.4,518.36,-40.2,-78.9,-30.49,-26.4,-169.5,213.44
1681389504.605546,0.0,0.0,0.6,0.08526967073909757,50.4,-183.6,-218.28,-192.9,-249.9,515.46,-40.5,-78.6,-31.46,-27.0,-170.1,211.51
1681389504.621977,0.0,0.0,0.6,0.08526967073909757,48.3,-181.2,-214.9,-193.2,-249.6,518.36,-40.8,-77.1,-30.49,-25.8,-171.0,211.99
1681389504.6558502,0.0,0.0,0.6,0.0853429894585637,48.6,-183.9,-215.86,-193.2,-248.4,517.88,-38.4,-79.2,-27.1,-27.0,-171.0,215.38
1681389504.6693828,0.0,0.0,0.6,0.0853429894585637,48.9,-183.3,-214.9,-192.6,-248.1,516.43,-40.2,-78.3,-31.46,-24.3,-170.4,213.44
1681389504.7006662,0.0,0.0,0.6,0.0853429894585637,48.9,-182.4,-215.86,-194.1,-248.7,517.4,-39.6,-78.0,-31.94,-27.0,-170.7,209.57
1681389504.7170768,0.0,0.0,0.6,0.0853429894585637,50.7,-182.7,-214.9,-193.5,-248.7,516.91,-40.8,-77.1,-29.52,-28.2,-170.4,214.41
1681389504.7490892,0.0,0.0,0.6,0.0853429894585637,47.1,-183.6,-218.28,-191.1,-250.2,515.94,-40.8,-79.5,-30.01,-26.4,-170.7,212.96
1681389504.7650967,0.0,0.0,0.6,0.08541630817802981,47.4,-185.1,-214.9,-193.5,-250.2,518.36,-40.5,-78.0,-28.07,-24.6,-170.4,212.96
1681389504.795972,0.0,0.0,0.6,0.08541630817802981,48.0,-186.0,-216.83,-194.7,-251.1,517.4,-42.0,-77.1,-30.49,-26.1,-169.8,215.86
1681389504.8132887,0.0,0.0,0.6,0.08541630817802981,47.7,-182.4,-214.41,-192.9,-249.0,516.91,-38.4,-78.3,-31.94,-25.5,-170.7,211.99
1681389504.8435576,0.0,0.0,0.6,0.08541630817802981,48.6,-184.8,-212.96,-192.9,-247.8,520.3,-39.9,-75.9,-33.88,-27.6,-169.5,210.06
1681389504.8595748,0.0,0.0,0.6,0.08541630817802981,47.1,-183.6,-217.8,-192.9,-249.6,517.4,-43.5,-77.7,-29.52,-29.7,-170.4,211.99
1681389504.8905404,0.0,0.0,0.6,0.08541630817802981,48.6,-182.7,-216.35,-193.2,-248.4,517.88,-39.6,-76.8,-27.1,-27.6,-171.0,213.44
1681389504.9136076,0.0,0.0,0.6,0.08541630817802981,46.2,-184.5,-213.93,-194.4,-249.6,514.49,-41.7,-75.6,-28.56,-25.5,-170.4,209.09
1681389504.938762,0.0,0.0,0.6,0.0853429894585637,47.7,-181.8,-215.38,-193.2,-249.9,516.43,-41.4,-75.9,-27.1,-29.1,-168.3,213.93
1681389504.9540803,0.0,0.0,0.6,0.0853429894585637,48.6,-182.1,-217.32,-193.8,-251.1,515.94,-39.6,-78.3,-33.4,-27.0,-170.1,212.96
1681389504.9853523,0.0,0.0,0.6,0.0853429894585637,48.0,-182.1,-213.93,-190.2,-249.9,516.91,-39.9,-77.7,-28.56,-25.8,-170.7,213.44
1681389505.0138817,0.0,0.0,0.6,0.0853429894585637,49.5,-185.4,-217.32,-195.3,-249.3,517.4,-41.4,-77.7,-31.94,-24.6,-170.4,215.86
1681389505.0344672,0.0,0.0,0.6,0.0853429894585637,49.2,-181.8,-210.54,-193.2,-251.4,516.91,-37.8,-78.3,-30.01,-27.9,-171.6,210.54
1681389505.048973,0.0,0.0,0.6,0.08526967073909757,49.5,-183.0,-215.86,-194.4,-249.6,514.98,-39.6,-76.8,-30.98,-27.6,-171.0,212.96
1681389505.0804245,0.0,0.0,0.6,0.08526967073909757,48.6,-182.4,-212.48,-194.7,-249.3,514.98,-40.2,-81.0,-30.01,-28.2,-171.0,211.99
1681389505.0961602,0.0,0.0,0.6,0.08526967073909757,48.0,-182.4,-214.41,-193.8,-249.9,515.46,-41.1,-78.6,-33.4,-27.3,-170.1,210.54
1681389505.127814,0.0,0.0,0.6,0.08526967073909757,51.0,-183.6,-213.93,-193.8,-250.5,514.01,-41.7,-77.7,-30.98,-27.0,-169.5,213.93
1681389505.1439312,0.0,0.0,0.6,0.08526967073909757,49.2,-183.6,-216.35,-193.8,-247.2,516.43,-39.6,-78.3,-31.46,-25.2,-168.3,212.48
1681389505.1748142,0.0,0.0,0.6,0.08526967073909757,49.5,-182.4,-217.32,-192.3,-250.2,516.43,-41.4,-77.7,-30.98,-29.4,-170.4,214.41
1681389505.2060585,0.0,0.0,0.6,0.08519635201963145,49.5,-180.9,-217.8,-193.2,-249.6,516.43,-39.3,-79.2,-33.88,-27.3,-168.9,211.02
1681389505.2223988,0.0,0.0,0.6,0.08519635201963145,49.5,-184.5,-219.25,-192.3,-247.8,518.85,-39.0,-80.4,-30.01,-25.8,-169.5,213.93
1681389505.2536852,0.0,0.0,0.6,0.08519635201963145,47.4,-183.6,-212.96,-193.5,-250.8,514.98,-39.3,-78.3,-28.56,-26.7,-170.4,215.38
1681389505.2693074,0.0,0.0,0.6,0.08519635201963145,46.8,-183.9,-214.9,-194.4,-247.2,519.33,-39.6,-77.7,-29.52,-29.4,-170.1,212.48
1681389505.3009472,0.0,0.0,0.6,0.08519635201963145,50.1,-184.2,-211.51,-194.7,-249.3,518.36,-39.0,-78.3,-29.04,-26.7,-171.3,211.51
1681389505.31703,0.0,0.0,0.6,0.08519635201963145,48.3,-182.4,-214.41,-193.5,-249.3,514.98,-39.9,-78.9,-30.98,-24.9,-170.7,214.41
1681389505.3486962,0.0,0.0,0.6,0.08512303330016532,45.6,-182.7,-218.28,-193.5,-250.2,519.82,-40.5,-79.2,-33.4,-25.2,-168.0,211.99
1681389505.364307,0.0,0.0,0.6,0.08453648354443637,48.0,-182.4,-215.86,-194.1,-249.3,515.94,-41.1,-77.1,-28.07,-26.7,-170.7,209.57
1681389505.3951652,0.0,0.0,0.6,0.08453648354443637,49.5,-181.8,-213.44,-192.9,-249.0,517.88,-39.0,-79.2,-28.56,-26.7,-173.4,215.86
1681389505.4144287,0.0,0.0,0.6,0.08453648354443637,48.0,-181.8,-213.93,-192.6,-249.3,517.4,-40.5,-77.4,-31.46,-27.3,-172.2,211.51
1681389505.4435287,0.0,0.0,0.6,0.08453648354443637,51.6,-181.8,-216.35,-191.7,-251.4,514.01,-40.2,-78.6,-30.01,-26.4,-169.8,212.48
1681389505.459289,0.0,0.0,0.6,0.08453648354443637,48.9,-182.1,-212.48,-192.9,-249.9,515.46,-41.1,-78.6,-30.49,-26.4,-170.4,210.54
1681389505.4906867,0.0,0.0,0.6,0.08446316482497024,47.4,-183.9,-214.9,-196.2,-249.0,515.46,-41.1,-78.0,-30.49,-27.6,-170.7,217.32
1681389505.5147119,0.0,0.0,0.6,0.08446316482497024,47.7,-183.3,-216.83,-192.9,-249.9,515.46,-41.7,-77.7,-30.98,-27.0,-173.4,211.02
1681389505.538757,0.0,0.0,0.6,0.08446316482497024,48.0,-184.8,-214.9,-192.9,-247.5,516.91,-41.1,-75.3,-32.43,-26.1,-171.3,213.93
1681389505.5546646,0.0,0.0,0.6,0.08446316482497024,47.7,-181.5,-215.86,-193.5,-250.8,516.43,-39.3,-78.6,-30.98,-25.5,-170.1,210.06
1681389505.5859187,0.0,0.0,0.6,0.08438984610550414,48.3,-183.6,-220.22,-190.2,-250.5,516.43,-39.9,-78.0,-29.52,-28.8,-169.5,214.9
1681389505.6019356,0.0,0.0,0.6,0.08438984610550414,50.1,-184.2,-215.38,-193.8,-247.5,516.91,-41.7,-78.6,-30.98,-26.7,-169.5,209.09
1681389505.6340284,0.0,0.0,0.6,0.08438984610550414,49.2,-181.2,-213.44,-194.1,-251.4,517.88,-36.6,-79.8,-28.07,-26.1,-168.9,210.54
1681389505.650112,0.0,0.0,0.6,0.08438984610550414,48.0,-181.5,-215.38,-194.7,-251.4,512.56,-39.6,-76.5,-32.91,-27.6,-170.7,212.96
